#Firmware: MS3 1.5.2 release     20211110 12:29GMT (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,0.0,73.745,73.745
1.0,0.0,0.0,0.0,0.184,73.929
0.0,0.0,0.0,0.0,0.929,74.858
1.0,0.0,0.0,0.0,0.105,74.963005
0.0,0.0,0.0,0.0,0.173,75.136
1.0,0.0,0.0,0.0,0.147,75.283005
1.0,1.0,1.0,0.0,3.504,78.787
0.0,0.0,1.0,0.0,0.723,79.51
0.0,0.0,0.0,0.0,0.002,79.512
1.0,0.0,0.0,1.0,0.018,79.53
0.0,0.0,0.0,1.0,3.652,83.182
1.0,0.0,0.0,1.0,1.749,84.931
0.0,0.0,0.0,1.0,0.754,85.685
1.0,0.0,0.0,1.0,22.465,108.149994
0.0,0.0,0.0,1.0,4.273,112.423
1.0,0.0,0.0,1.0,0.749,113.172
0.0,0.0,0.0,1.0,0.238,113.409996
1.0,0.0,0.0,1.0,0.74,114.149994
0.0,0.0,0.0,1.0,0.832,114.981995
1.0,0.0,0.0,1.0,0.299,115.281
0.0,0.0,0.0,1.0,2.48,117.761
1.0,0.0,0.0,1.0,0.216,117.977005
0.0,0.0,0.0,1.0,2.533,120.51
1.0,0.0,0.0,1.0,0.17,120.68
0.0,0.0,0.0,1.0,1.69,122.37
1.0,0.0,0.0,0.0,0.262,122.632
0.0,0.0,0.0,0.0,3.66,126.29201
1.0,0.0,0.0,0.0,0.351,126.643005
0.0,0.0,0.0,0.0,1.103,127.746
1.0,0.0,0.0,0.0,0.141,127.887
0.0,0.0,0.0,0.0,0.509,128.396
1.0,0.0,0.0,0.0,0.197,128.593
0.0,0.0,0.0,0.0,0.732,129.325
1.0,0.0,0.0,0.0,0.105,129.43
0.0,0.0,0.0,0.0,0.704,130.13399
1.0,0.0,0.0,0.0,0.108,130.24199
0.0,0.0,0.0,0.0,0.663,130.90498
1.0,0.0,0.0,0.0,0.059,130.96399
0.0,0.0,0.0,0.0,1.218,132.18199
1.0,0.0,0.0,0.0,0.104,132.286
0.0,0.0,0.0,0.0,1.966,134.252
1.0,0.0,0.0,0.0,0.128,134.38
0.0,0.0,0.0,0.0,3.32,137.70001
1.0,0.0,0.0,0.0,0.318,138.018
0.0,0.0,0.0,0.0,3.114,141.132
1.0,0.0,0.0,0.0,0.209,141.341
0.0,0.0,0.0,0.0,1.042,142.38301
1.0,0.0,0.0,0.0,0.108,142.49101
0.0,0.0,0.0,0.0,1.328,143.81902
1.0,0.0,0.0,0.0,0.092,143.91101
0.0,0.0,0.0,0.0,0.625,144.53601
1.0,0.0,0.0,0.0,0.093,144.62901
0.0,0.0,0.0,0.0,1.75,146.37901
1.0,0.0,0.0,0.0,0.083,146.462
0.0,0.0,0.0,0.0,1.663,148.125
1.0,0.0,0.0,0.0,0.227,148.352
0.0,0.0,0.0,0.0,1.712,150.06401
1.0,0.0,0.0,0.0,0.112,150.17601
0.0,0.0,0.0,0.0,1.285,151.46101
1.0,0.0,0.0,0.0,0.138,151.59901
0.0,0.0,0.0,0.0,3.881,155.48001
1.0,0.0,0.0,0.0,0.072,155.55202
0.0,0.0,0.0,0.0,0.427,155.97902
1.0,0.0,0.0,0.0,0.127,156.10602
0.0,0.0,0.0,0.0,0.613,156.71902
1.0,0.0,0.0,0.0,0.079,156.79802
0.0,0.0,0.0,0.0,0.566,157.36401
1.0,0.0,0.0,0.0,0.065,157.42902
