//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-6-2023
//--  Time: 17:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2200 Ohms
//--    Temperature1: 31(F), 	Resistance 1: 5330 Ohms 
//--    Temperature2: 66(F), 	Resistance 2: 2380 Ohms 
//--    Temperature3: 111(F), 	Resistance 3: 1060 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
207	155.93	1559 	1.011
208	155.46	1555 	1.016
209	155.00	1550 	1.021
210	154.53	1545 	1.025
211	154.07	1541 	1.030
212	153.61	1536 	1.035
213	153.16	1532 	1.040
214	152.70	1527 	1.045
215	152.25	1522 	1.050
216	151.80	1518 	1.055
217	151.35	1514 	1.060
218	150.91	1509 	1.064
219	150.47	1505 	1.069
220	150.03	1500 	1.074
221	149.59	1496 	1.079
222	149.15	1492 	1.084
223	148.72	1487 	1.089
224	148.29	1483 	1.094
225	147.86	1479 	1.099
226	147.44	1474 	1.104
227	147.01	1470 	1.108
228	146.59	1466 	1.113
229	146.17	1462 	1.118
230	145.75	1458 	1.123
231	145.34	1453 	1.128
232	144.92	1449 	1.133
233	144.51	1445 	1.138
234	144.10	1441 	1.143
235	143.69	1437 	1.147
236	143.29	1433 	1.152
237	142.88	1429 	1.157
238	142.48	1425 	1.162
239	142.08	1421 	1.167
240	141.68	1417 	1.172
241	141.29	1413 	1.177
242	140.89	1409 	1.182
243	140.50	1405 	1.187
244	140.11	1401 	1.191
245	139.72	1397 	1.196
246	139.33	1393 	1.201
247	138.95	1389 	1.206
248	138.56	1386 	1.211
249	138.18	1382 	1.216
250	137.80	1378 	1.221
251	137.42	1374 	1.226
252	137.04	1370 	1.230
253	136.67	1367 	1.235
254	136.30	1363 	1.240
255	135.92	1359 	1.245
256	135.55	1356 	1.250
257	135.18	1352 	1.255
258	134.82	1348 	1.260
259	134.45	1345 	1.265
260	134.09	1341 	1.270
